IMP,Task ID,SAN,Status (disk),Shipped,Milestone,In Linear,Spec path,Title
054,MAP-002D,,"Done",yes,"W1 foundation (shipped)",no,tasks/maps/MAP-002D-search-grounding-enable.md,"Enable ADK SearchAgent (Google Search Grounding)"
055,MAP-002E,,"Done",yes,"W1 foundation (shipped)",no,tasks/maps/MAP-002E-gemini-maps-fallback-runbook.md,"Gemini Maps fallback — production runbook + observability"
056,MASTRA-003,,"Done",yes,"W1 foundation (shipped)",no,tasks/mastra/MASTRA-003-postgres-storage.md,"PostgresStore + shared thread memory (production blocker — before MAP-001)"
057,F13b,,"Done",yes,"W1 foundation (shipped)",no,tasks/core/F13b-workspace-and-skills.md,"Port Mastra workspace + 5 mdeai workspace skills from my-mastra-app"
058,MAP-018B,,"Done",yes,"W1 foundation (shipped)",no,tasks/maps/MAP-018B-sidecar-places-enrichment.md,"ADK sidecar batch Place Details after Grounding Lite MCP"
059,MAP-018C,,"Done",yes,"W1 foundation (shipped)",no,tasks/maps/MAP-018C-mastra-enriched-grounded-schema.md,"Mastra grounded tool + normalizer for enriched place pins"
060,MAP-018D,,"Done",yes,"W1 foundation (shipped)",no,tasks/maps/MAP-018D-places-photo-proxy.md,"Server photo proxy for Place Photos (New)"
061,MAP-018E,,"Done",yes,"W1 foundation (shipped)",no,tasks/maps/MAP-018E-places-details-cache.md,"Supabase places_details_cache for Place Details (New)"
062,MAP-018F,,"Done",yes,"W1 foundation (shipped)",no,tasks/maps/MAP-018F-grounded-place-card-ui.md,"GroundedPlaceCard — Mindtrip-style UI for search-grounded-places"
063,SCREEN-021,SAN-114,"Phase A.5 Done",yes,"W1 foundation (shipped)",yes,tasks/screens/026-scr-cafe-listings-map-booking.md,"Cafe Listings + Map + Booking Request"
064,EVP-002-core,,"Done",yes,"Phase 2 — Events discovery",no,tasks/events/EVP-002-core-ticket-checkout-webhook-port.md,"Port ticket-checkout + ticket-payment-webhook to mdeapp (PR-4)"
065,EVP-004-core,,"Done",yes,"Phase 2 — Events discovery",no,tasks/events/EVP-004-core-event-agent-port.md,"Port eventAgent (mdeai events specialist) from my-mastra-app"
066,EVP-005-core,,"Done",yes,"Phase 2 — Events discovery",no,tasks/events/EVP-005-core-event-tool-and-workflow.md,"Port search-events tool + event-discovery-workflow from my-mastra-app"
067,EVP-006-core,,"Done",yes,"Phase 2 — Events discovery",no,tasks/events/EVP-006-core-event-clarify-gate-and-chips.md,"Event clarify gate + category chips"
068,EVP-007-core,,"Done",yes,"Phase 2 — Events discovery",no,tasks/events/EVP-007-core-event-agent-prompt-and-sources.md,"Event discovery agent prompt + trusted source registry"
069,EVP-008-core,,"Done",yes,"Phase 2 — Events discovery",no,tasks/events/EVP-008-core-event-draft-state-types.md,"platform/contracts EventDraftState Zod (PR-3 — was packages/types)"
070,EVP-009-core,,"Done",yes,"Phase 2 — Events discovery",no,tasks/events/EVP-009-core-host-event-agent.md,"hostEventAgent — Roberto's event-creation backend (PRD §51 #14)"
071,EVP-010-core,,"Done",yes,"Phase 2 — Events discovery",no,tasks/events/EVP-010-core-host-event-new-wizard.md,"/host/event/new wizard shell + 3 frontend actions (PRD §51 #16)"
072,EVP-011-core,,"Done",yes,"Phase 2 — Events discovery",no,tasks/events/EVP-011-core-approval-panel-hitl.md,"ApprovalPanel + renderAndWaitForResponse HITL (PRD §51 #17)"
073,EVP-012-core,,"Done",yes,"Phase 2 — Events discovery",no,tasks/events/EVP-012-core-approval-commit-edge-fn.md,"/api/approval-commit edge fn wrapping decide_approval() RPC (PRD §51 #18)"
074,EVP-017-mvp,,"Done",yes,"Phase 2 — Events discovery",no,tasks/events/EVP-017-mvp-event-grounding-architecture.md,"Event web discovery — architecture & phase placement"
075,GS-001,,"Done",yes,"Deferred — Grounding search",no,tasks/grounding-search/tasks/GS-001-search-grounding-types.md,"Search grounding — Zod contracts + sidecar parser"
076,GS-002,,"Done",yes,"Deferred — Grounding search",no,tasks/grounding-search/tasks/GS-002-web-citation-ui.md,"Web citation UI — CopilotKit “From the web”"
077,GS-003,,"Done",yes,"Deferred — Grounding search",no,tasks/grounding-search/tasks/GS-003-search-quota-logging.md,"Search grounding — quota + logging"
078,GS-004,,"Done",yes,"Deferred — Grounding search",no,tasks/grounding-search/tasks/GS-004-mastra-freshness-router.md,"Mastra freshness intent router"
079,OPS-ANDRES-G1,SAN-178,"Not Started",no,"P0 — MVP gates",yes,todo.md,"Andrés G1 — manual Stripe test payment"
080,EVP-003-core,SAN-116,"Partial",no,"P0 — MVP gates",yes,tasks/events/EVP-003-core-stripe-webhook-secret-audit.md,"P0 Stripe webhook secret audit (ticket vs sponsor)"
081,EVP-001-core,SAN-115,"Not Started",no,"P0 — MVP gates",yes,tasks/events/EVP-001-core-production-proof-gates.md,"Event production proof gates"
082,EVP-013-core,SAN-117,"Partial",no,"P1 — Events polish",yes,tasks/events/EVP-013-core-event-card-component.md,"Port EventCard + EventFilters component"
083,EVP-014-core,SAN-118,"Not Started",no,"P1 — Events polish",yes,tasks/events/EVP-014-core-host-events-list-page.md,"/host/events list page — Roberto draft + published view (PRD §51 #15)"
084,SCREEN-010,SAN-111,"Not Started",no,"P1 — Screens & café",yes,tasks/screens/010-scr-map-exploration-panel.md,"Map Exploration Right Panel"
085,SCREEN-017,SAN-112,"Not Started",no,"P1 — Screens & café",yes,tasks/screens/017-scr-login-signup-polish.md,"Login / Signup Polish"
086,CAFE-001,SAN-109,"Not Started",no,"P1 — Screens & café",yes,tasks/screens/CAFE-001-booking-requests-schema.md,"Cafe booking requests schema + RLS"
087,SCREEN-002,SAN-110,"Not Started",no,"P1 — Screens & café",yes,tasks/screens/002-scr-chat-nav-rail.md,"Chat Nav Rail + Thread List"
088,SCREEN-018,SAN-113,"Not Started",no,"P1 — Screens & café",yes,tasks/screens/018-scr-mobile-responsive-shell.md,"Mobile Responsive 3-Panel Shell"
089,MAP-002A-ADK,SAN-101,"Not started",no,"P1 — Maps & core",yes,tasks/maps/MAP-002A-ADK-agent-package.md,"ADK LlmAgent + McpToolset package (Phase 2 follow-up)"
090,test-prompt-1,,"Unknown",no,"P1 — Maps & core",no,tasks/maps/test-prompt-1.md,"test-prompt-1"
091,CROSSWALK-ck-ui-e2e-state,,"Unknown",no,"P1 — Maps & core",no,tasks/mastra/CROSSWALK-ck-ui-e2e-state.md,"Crosswalk — MASTRA ↔ CK ↔ STATE ↔ E2E aliases"
092,notes-2,,"Unknown",no,"P1 — Maps & core",no,tasks/maps/notes-2.md,"notes-2"
093,notes-3,,"Unknown",no,"P1 — Maps & core",no,tasks/maps/notes-3.md,"notes-3"
094,notes-4,,"Unknown",no,"P1 — Maps & core",no,tasks/maps/notes-4.md,"notes-4"
095,MAP-005,SAN-102,"Not Started",no,"P1 — Maps & core",yes,tasks/maps/MAP-005-places-proxy-cache.md,"places-proxy edge + places_cache + RLS"
096,MAP-006,SAN-103,"Not Started",no,"P1 — Maps & core",yes,tasks/maps/MAP-006-nearby-search.md,"Nearby Search + Show nearby on RentalCard"
097,MAP-010,SAN-104,"Not Started",no,"P1 — Maps & core",yes,tasks/maps/MAP-010-place-autocomplete-venue.md,"Place autocomplete — Roberto host venue"
098,MAP-011,SAN-105,"Not Started",no,"P1 — Maps & core",yes,tasks/maps/MAP-011-route-previews.md,"Route previews + commute cards"
099,MAP-012,SAN-106,"Not Started",no,"P1 — Maps & core",yes,tasks/maps/MAP-012-neighborhood-intelligence.md,"Neighborhood intelligence cards"
100,MAP-012A,SAN-107,"Not Started",no,"P1 — Maps & core",yes,tasks/maps/MAP-012A-colombia-aggregate-insights-spike.md,"Colombia coverage spike — Places Aggregate vs Insights"
101,F20,SAN-95,"Not Started",no,"P1 — Maps & core",yes,tasks/core/F20-evaluation-and-deploy-prep.md,"Port evaluationAgent + scorers + Vercel deploy prep"
102,F21A,SAN-96,"Not Started",no,"P1 — Maps & core",yes,tasks/core/F21A-auto-review-calibration.md,"Auto-review — manual calibration (rules + subagent only, no hooks)"
103,F22,SAN-97,"Not Started",no,"P1 — Maps & core",yes,tasks/core/F22-hero-photo-library.md,"Port Medellín hero photo library from legacy"
104,MAP-023,SAN-108,"Not Started",no,"P1 — Maps & core",yes,tasks/maps/MAP-023-static-maps-event-previews.md,"Static Maps API — event location previews + OG images"
105,F26,SAN-98,"Not Started",no,"P1 — Maps & core",yes,tasks/core/F26-restaurant-card-component.md,"Port RestaurantCard + RestaurantFilters component"
106,F30,SAN-99,"Not Started",no,"P1 — Maps & core",yes,tasks/core/F30-onboarding-layout.md,"Port OnboardingLayout — first-run shell"
107,F32,SAN-100,"Not Started",no,"P1 — Maps & core",yes,tasks/core/F32-production-smoke.md,"Production smoke against https://mdeapp.vercel.app"
108,LEGACY-ID-MAP,,"Unknown",no,"P1 — Maps & core",no,tasks/events/LEGACY-ID-MAP.md,"Events task ID migration — EVT/F → EVP"
109,LOCALHOST-QA-CHECKLIST,,"Unknown",no,"P1 — Maps & core",no,tasks/maps/LOCALHOST-QA-CHECKLIST.md,"Localhost QA — full sweep checklist (run in order)"
110,NUMBERING,,"Unknown",no,"P1 — Maps & core",no,tasks/maps/NUMBERING.md,"MAP task IDs — mdeai"
111,TROUBLESHOOTING-CHECKLIST,,"Unknown",no,"P1 — Maps & core",no,tasks/maps/TROUBLESHOOTING-CHECKLIST.md,"mdeai localhost — troubleshooting checklist"
112,VERIFICATION-CHECKLIST,,"Unknown",no,"P1 — Maps & core",no,tasks/maps/VERIFICATION-CHECKLIST.md,"Maps tasks — verification & test checklist"
113,maps-checklist,,"Unknown",no,"P1 — Maps & core",no,tasks/maps/maps-checklist.md,"Maps — GMP capabilities audit + run checklist"
114,maps-prd,,"Active — execution plan for mdeapp/",no,"P1 — Maps & core",no,tasks/maps/maps-prd.md,"mdeai — Google Maps V2 Implementation Plan"
115,my-mastra-app-coverage,,"Unknown",no,"P1 — Maps & core",no,tasks/mastra/my-mastra-app-coverage.md,"my-mastra-app → mdeapp port coverage matrix"
116,notes-agent,,"Unknown",no,"P1 — Maps & core",no,tasks/agent/tasks/notes-agent.md,"notes-agent"
117,notes-events,,"Unknown",no,"P1 — Maps & core",no,tasks/events/notes-events.md,"notes-events"
118,places-mask-checklist,,"Unknown",no,"P1 — Maps & core",no,tasks/maps/places-mask-checklist.md,"Places API (New) — signed field masks (MAP-004)"
119,test-prompt,,"Unknown",no,"P1 — Maps & core",no,tasks/maps/test-prompt.md,"test-prompt"
120,VEC-001,SAN-151,"Not Started",no,"Phase 2 — Vector",yes,tasks/vector/VEC-001-pgvector-inventory-and-duplicate-index-plan.md,"pgvector inventory + duplicate HNSW cleanup plan"
121,VEC-002,SAN-152,"Not Started",no,"Phase 2 — Vector",yes,tasks/vector/VEC-002-semantic-v1-schema-and-rls-plan.md,"Semantic V1 schema + RLS plan"
122,VEC-003,SAN-153,"Not Started",no,"Phase 2 — Vector",yes,tasks/vector/VEC-003-model-registry-and-embedding-contract.md,"Model registry + embedding contract"
123,VEC-004,SAN-154,"Not Started",no,"Phase 2 — Vector",yes,tasks/vector/VEC-004-embedding-text-builders.md,"Embedding text builders"
124,VEC-005,SAN-155,"Not Started",no,"Phase 2 — Vector",yes,tasks/vector/VEC-005-semantic-eval-harness.md,"Golden semantic eval harness"
125,VEC-006,SAN-156,"Not Started",no,"Phase 2 — Vector",yes,tasks/vector/VEC-006-semantic-search-logs-and-observability.md,"Search logs + observability"
126,VEC-007,SAN-157,"Not Started",no,"Phase 2 — Vector",yes,tasks/vector/VEC-007-coffee-tour-vector-compatibility.md,"Coffee-tour vector compatibility"
127,CTI-001A,SAN-158,"Open",no,"Phase 2 — Coffee tours (CTI)",yes,tasks/agent/tasks/CTI-001A-coffee-tour-core-schema.md,"Supabase coffee_tours core tables + RLS"
128,CTI-001B,SAN-159,"Open",no,"Phase 2 — Coffee tours (CTI)",yes,tasks/agent/tasks/CTI-001B-coffee-tour-logs-cache.md,"coffee_tour_search_logs + coffee_tour_cache"
129,CTI-002,SAN-160,"Open",no,"Phase 2 — Coffee tours (CTI)",yes,tasks/agent/tasks/CTI-002-coffee-tour-types.md,"CoffeeTour types + Zod schemas"
130,CTI-003,SAN-161,"Open",no,"Phase 2 — Coffee tours (CTI)",yes,tasks/agent/tasks/CTI-003-seed-coffee-tours.md,"Seed 5 verified coffee tours"
131,CTI-004,SAN-162,"Open",no,"Phase 2 — Coffee tours (CTI)",yes,tasks/agent/tasks/CTI-004-search-coffee-tours-tool.md,"Concierge tour intent + searchCoffeeTours tool"
132,CTI-005,SAN-163,"Open",no,"Phase 2 — Coffee tours (CTI)",yes,tasks/agent/tasks/CTI-005-mvp-places-enrich-tours.md,"Places API enrich for coffee tour rows"
133,CTI-006,SAN-164,"Open",no,"Phase 2 — Coffee tours (CTI)",yes,tasks/agent/tasks/CTI-006-rank-coffee-tours.md,"rankCoffeeTours scoring function"
134,CTI-007,SAN-165,"Open",no,"Phase 2 — Coffee tours (CTI)",yes,tasks/agent/tasks/CTI-007-coffee-tour-card-ui.md,"CoffeeTourCard + CopilotKit tool render"
135,CTI-008,SAN-166,"Open",no,"Phase 2 — Coffee tours (CTI)",yes,tasks/agent/tasks/CTI-008-map-pins-tours.md,"Map pins + results column for coffee tours"
136,CTI-009,SAN-167,"Open",no,"Phase 2 — Coffee tours (CTI)",yes,tasks/agent/tasks/CTI-009-smoke-coffee-tours.md,"smoke:coffee-tours script"
137,CTI-010,SAN-168,"Open",no,"Phase 2 — Coffee tours (CTI)",yes,tasks/agent/tasks/CTI-010-phase-a-evidence.md,"Phase A evidence + task-verifier closeout"
138,CTI-011,SAN-169,"Open",no,"Phase 2 — Coffee tours (CTI)",yes,tasks/agent/tasks/CTI-011-postMVP-embeddings-pipeline.md,"coffee_tour_embeddings + server embed job"
139,CTI-012,SAN-170,"Open",no,"Phase 2 — Coffee tours (CTI)",yes,tasks/agent/tasks/CTI-012-verify-tour-sources.md,"verifyCoffeeTourSources (Search Grounding)"
140,CTI-013,SAN-171,"Open",no,"Phase 2 — Coffee tours (CTI)",yes,tasks/agent/tasks/CTI-013-adk-discovery-merge.md,"ADK discovery merge into coffee_tours staging"
141,CTI-014,SAN-172,"Open",no,"Phase 2 — Coffee tours (CTI)",yes,tasks/agent/tasks/CTI-014-save-coffee-tour.md,"saveCoffeeTour + user interactions RLS"
142,CTI-015,SAN-173,"Open",no,"Phase 2 — Coffee tours (CTI)",yes,tasks/agent/tasks/CTI-015-compare-drawer.md,"CoffeeTourCompareDrawer + compareCoffeeTours"
143,CTI-016,SAN-174,"Open",no,"Phase 2 — Coffee tours (CTI)",yes,tasks/agent/tasks/CTI-016-query-bar-chips.md,"Coffee tour intent chips on ChatQueryBar"
144,CTI-017,SAN-175,"Open",no,"Phase 2 — Coffee tours (CTI)",yes,tasks/agent/tasks/CTI-017-tour-detail-page.md,"/tours/[slug] detail page"
145,CTI-018,SAN-176,"Open",no,"Phase 2 — Coffee tours (CTI)",yes,tasks/agent/tasks/CTI-018-coffee-tour-workflow.md,"Extract coffeeTourSearchWorkflow from concierge"
146,CTI-020,SAN-177,"Open",no,"Phase 2 — Coffee tours (CTI)",yes,tasks/agent/tasks/CTI-020-whatsapp-handoff.md,"WhatsApp handoff for coffee tours"
147,EVP-015-mvp,SAN-119,"Not Started",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-015-mvp-grounded-event-discovery.md,"Grounded event discovery"
148,EVP-016-mvp,SAN-120,"Not Started",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-016-mvp-event-maps-venue-integration.md,"Event maps + venue integration"
149,EVP-018-mvp,SAN-121,"Not Started",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-018-mvp-event-web-discovery-task-pack.md,"Event web discovery — future task pack (EVP-019…028)"
150,EVP-019-mvp,SAN-122,"Not Started",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-019-mvp-research-official-docs.md,"Research official docs (CopilotKit, Mastra, ADK, Grounding, Places)"
151,EVP-020-mvp,SAN-123,"Not Started",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-020-mvp-discovered-events-data-model.md,"Discovered events data model + RLS"
152,EVP-021-mvp,SAN-124,"Not Started",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-021-mvp-google-search-grounding.md,"Google Search Grounding query templates"
153,EVP-022-mvp,SAN-125,"Not Started",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-022-mvp-event-discovery-workflow.md,"eventDiscoveryWorkflow (Mastra)"
154,EVP-023-mvp,SAN-126,"Not Started",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-023-mvp-adk-search-maps-agents.md,"ADK SearchAgent + MapsAgent sidecar"
155,EVP-024-mvp,SAN-127,"Not Started",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-024-mvp-places-enrichment.md,"Places API enrichment for discovered events"
156,EVP-025-mvp,SAN-128,"Not Started",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-025-mvp-copilotkit-discovery-ui.md,"CopilotKit discovery UI (cards, attribution, approval)"
157,EVP-026-mvp,SAN-129,"Not Started",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-026-mvp-human-approval-save-flow.md,"Human approval save flow"
158,EVP-027-mvp,SAN-130,"Not Started",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-027-mvp-discovery-test-plan.md,"Discovery test plan"
159,EVP-028-mvp,SAN-131,"Not Started",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-028-mvp-production-readiness.md,"Production readiness checklist"
160,EVP-029-advanced,SAN-132,"Not Started",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-029-advanced-sponsor-crm-lite.md,"Sponsor CRM-lite + proposal drafts"
161,EVP-030-advanced,SAN-133,"Not Started",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-030-advanced-openclaw-postiz-approval-sandbox.md,"OpenClaw/Postiz approval sandbox"
162,EVP-031-advanced,SAN-134,"Not Started",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-031-advanced-openclaw-automation-plan.md,"OpenClaw automation plan (no implementation)"
163,EVP-032-mvp,SAN-135,"Open",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-032-mvp-luma-event-detail-layout.md,"Luma-style event detail layout"
164,EVP-033-mvp,SAN-136,"Open",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-033-mvp-event-vibe-ai-summary.md,"Event vibe tags and AI summary"
165,EVP-034-mvp,SAN-137,"Open",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-034-mvp-ask-host-ai-qa.md,"Ask Host and AI Q&A assistant"
166,EVP-035-mvp,SAN-138,"Open",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-035-mvp-attendee-profiles-audience-breakdown.md,"Attendee profiles and audience breakdown"
167,EVP-036-mvp,SAN-139,"Open",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-036-mvp-community-map-nearby.md,"Community, map, and nearby intelligence"
168,EVP-037-mvp,SAN-140,"Open",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-037-mvp-concierge-event-decision-chat.md,"AI event decision concierge"
169,EVP-038-postmvp,SAN-141,"Open",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-038-postmvp-ai-networking-matchmaking.md,"AI networking matchmaking and icebreakers"
170,EVP-039-postmvp,SAN-142,"Open",no,"Phase 2 — Events discovery",yes,tasks/events/EVP-039-postmvp-live-event-chat-rooms.md,"Live event chat and networking rooms"
